GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;;Farbe;Rang;Zeile;;;Ränge;1;0;fceed3
101;16;109,312019348145;03.05.20 17:00;;;;"=WENNS(I2=N$5;P$5;I2=N$4;P$4;I2=N$3;P$3;I2 = N$2;P$2;I2=N$1;P$1)";"=WENNS(C2>O$5;N$5;C2>O$4;N$4;C2>O$3;N$3;C2>O$2;N$2;C2>O$1;N$1)";"="".bz""&TEXT(A2;""0"") & "" { fill:#"" &TEXT(H2;""0"") &"";fill-opacity:1 }""";;;;2;50;f2a88d
103;23;53,5793342590332;03.05.20 17:00;;;;"=WENNS(I3=N$5;P$5;I3=N$4;P$4;I3=N$3;P$3;I3 = N$2;P$2;I3=N$1;P$1)";"=WENNS(C3>O$5;N$5;C3>O$4;N$4;C3>O$3;N$3;C3>O$2;N$2;C3>O$1;N$1)";"="".bz""&TEXT(A3;""0"") & "" { fill:#"" &TEXT(H3;""0"") &"";fill-opacity:1 }""";;;;3;125;e54514
104;24;93,0340728759766;03.05.20 17:00;;;;"=WENNS(I4=N$5;P$5;I4=N$4;P$4;I4=N$3;P$3;I4 = N$2;P$2;I4=N$1;P$1)";"=WENNS(C4>O$5;N$5;C4>O$4;N$4;C4>O$3;N$3;C4>O$2;N$2;C4>O$1;N$1)";"="".bz""&TEXT(A4;""0"") & "" { fill:#"" &TEXT(H4;""0"") &"";fill-opacity:1 }""";;;;4;250;b80062
105;9;52,7364349365234;03.05.20 17:00;;;;"=WENNS(I5=N$5;P$5;I5=N$4;P$4;I5=N$3;P$3;I5 = N$2;P$2;I5=N$1;P$1)";"=WENNS(C5>O$5;N$5;C5>O$4;N$4;C5>O$3;N$3;C5>O$2;N$2;C5>O$1;N$1)";"="".bz""&TEXT(A5;""0"") & "" { fill:#"" &TEXT(H5;""0"") &"";fill-opacity:1 }""";;;;5;500;800080
106;46;115,216026306152;03.05.20 17:00;;;;"=WENNS(I6=N$5;P$5;I6=N$4;P$4;I6=N$3;P$3;I6 = N$2;P$2;I6=N$1;P$1)";"=WENNS(C6>O$5;N$5;C6>O$4;N$4;C6>O$3;N$3;C6>O$2;N$2;C6>O$1;N$1)";"="".bz""&TEXT(A6;""0"") & "" { fill:#"" &TEXT(H6;""0"") &"";fill-opacity:1 }""";;;;;;
107;56;94,0354614257813;03.05.20 17:00;;;;"=WENNS(I7=N$5;P$5;I7=N$4;P$4;I7=N$3;P$3;I7 = N$2;P$2;I7=N$1;P$1)";"=WENNS(C7>O$5;N$5;C7>O$4;N$4;C7>O$3;N$3;C7>O$2;N$2;C7>O$1;N$1)";"="".bz""&TEXT(A7;""0"") & "" { fill:#"" &TEXT(H7;""0"") &"";fill-opacity:1 }""";;;;;;
108;23;61,3120803833008;03.05.20 17:00;;;;"=WENNS(I8=N$5;P$5;I8=N$4;P$4;I8=N$3;P$3;I8 = N$2;P$2;I8=N$1;P$1)";"=WENNS(C8>O$5;N$5;C8>O$4;N$4;C8>O$3;N$3;C8>O$2;N$2;C8>O$1;N$1)";"="".bz""&TEXT(A8;""0"") & "" { fill:#"" &TEXT(H8;""0"") &"";fill-opacity:1 }""";;;;;;
109;130;240,402389526367;03.05.20 17:00;;;;"=WENNS(I9=N$5;P$5;I9=N$4;P$4;I9=N$3;P$3;I9 = N$2;P$2;I9=N$1;P$1)";"=WENNS(C9>O$5;N$5;C9>O$4;N$4;C9>O$3;N$3;C9>O$2;N$2;C9>O$1;N$1)";"="".bz""&TEXT(A9;""0"") & "" { fill:#"" &TEXT(H9;""0"") &"";fill-opacity:1 }""";;;;;;
201;89;88,2787628173828;03.05.20 17:00;;;;"=WENNS(I10=N$5;P$5;I10=N$4;P$4;I10=N$3;P$3;I10 = N$2;P$2;I10=N$1;P$1)";"=WENNS(C10>O$5;N$5;C10>O$4;N$4;C10>O$3;N$3;C10>O$2;N$2;C10>O$1;N$1)";"="".bz""&TEXT(A10;""0"") & "" { fill:#"" &TEXT(H10;""0"") &"";fill-opacity:1 }""";;;;;;
202;21;33,7387351989746;03.05.20 17:00;;;;"=WENNS(I11=N$5;P$5;I11=N$4;P$4;I11=N$3;P$3;I11 = N$2;P$2;I11=N$1;P$1)";"=WENNS(C11>O$5;N$5;C11>O$4;N$4;C11>O$3;N$3;C11>O$2;N$2;C11>O$1;N$1)";"="".bz""&TEXT(A11;""0"") & "" { fill:#"" &TEXT(H11;""0"") &"";fill-opacity:1 }""";;;;;;
203;5;27,4363479614258;03.05.20 17:00;;;;"=WENNS(I12=N$5;P$5;I12=N$4;P$4;I12=N$3;P$3;I12 = N$2;P$2;I12=N$1;P$1)";"=WENNS(C12>O$5;N$5;C12>O$4;N$4;C12>O$3;N$3;C12>O$2;N$2;C12>O$1;N$1)";"="".bz""&TEXT(A12;""0"") & "" { fill:#"" &TEXT(H12;""0"") &"";fill-opacity:1 }""";;;;;;
204;43;71,9063568115234;03.05.20 17:00;;;;"=WENNS(I13=N$5;P$5;I13=N$4;P$4;I13=N$3;P$3;I13 = N$2;P$2;I13=N$1;P$1)";"=WENNS(C13>O$5;N$5;C13>O$4;N$4;C13>O$3;N$3;C13>O$2;N$2;C13>O$1;N$1)";"="".bz""&TEXT(A13;""0"") & "" { fill:#"" &TEXT(H13;""0"") &"";fill-opacity:1 }""";;;;;;
205;50;91,6506271362305;03.05.20 17:00;;;;"=WENNS(I14=N$5;P$5;I14=N$4;P$4;I14=N$3;P$3;I14 = N$2;P$2;I14=N$1;P$1)";"=WENNS(C14>O$5;N$5;C14>O$4;N$4;C14>O$3;N$3;C14>O$2;N$2;C14>O$1;N$1)";"="".bz""&TEXT(A14;""0"") & "" { fill:#"" &TEXT(H14;""0"") &"";fill-opacity:1 }""";;;;;;
206;41;53,8828506469727;03.05.20 17:00;;;;"=WENNS(I15=N$5;P$5;I15=N$4;P$4;I15=N$3;P$3;I15 = N$2;P$2;I15=N$1;P$1)";"=WENNS(C15>O$5;N$5;C15>O$4;N$4;C15>O$3;N$3;C15>O$2;N$2;C15>O$1;N$1)";"="".bz""&TEXT(A15;""0"") & "" { fill:#"" &TEXT(H15;""0"") &"";fill-opacity:1 }""";;;;;;
207;48;74,2252731323242;03.05.20 17:00;;;;"=WENNS(I16=N$5;P$5;I16=N$4;P$4;I16=N$3;P$3;I16 = N$2;P$2;I16=N$1;P$1)";"=WENNS(C16>O$5;N$5;C16>O$4;N$4;C16>O$3;N$3;C16>O$2;N$2;C16>O$1;N$1)";"="".bz""&TEXT(A16;""0"") & "" { fill:#"" &TEXT(H16;""0"") &"";fill-opacity:1 }""";;;;;;
208;54;128,945983886719;03.05.20 17:00;;;;"=WENNS(I17=N$5;P$5;I17=N$4;P$4;I17=N$3;P$3;I17 = N$2;P$2;I17=N$1;P$1)";"=WENNS(C17>O$5;N$5;C17>O$4;N$4;C17>O$3;N$3;C17>O$2;N$2;C17>O$1;N$1)";"="".bz""&TEXT(A17;""0"") & "" { fill:#"" &TEXT(H17;""0"") &"";fill-opacity:1 }""";;;;;;
