GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;Differenz absolut;Differenz Inzidenz;;;Farbe;Rang;Zeile;;;Zeile effektiv;;;Maximum;=MAX(L2:L94);;Ränge;1;0;fceed3
101;16;109,312019348145;19.04.20 19:00;101;16;109,312019348145;03.05.20 17:00;;;=F2-B2;=G2-C2;;;"=WENNS(P2=AA$5;AC$5;P2=AA$4;AC$4;P2=AA$3;AC$3;P2 = AA$2;AC$2;P2=AA$1;AC$1)";"=WENNS(L2>AB$5;AA$5;L2>AB$4;AA$4;L2>AB$3;AA$3;L2>AB$2;AA$2;L2>AB$1;AA$1)";"="".bz""&TEXT(E2;""0"") & "" { fill:#"" &TEXT(O2;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q2;"""")";;;;;;;2;5;f2a88d
103;23;53,5793342590332;19.04.20 19:00;103;23;53,5793342590332;03.05.20 17:00;;;=F3-B3;=G3-C3;;;"=WENNS(P3=AA$5;AC$5;P3=AA$4;AC$4;P3=AA$3;AC$3;P3 = AA$2;AC$2;P3=AA$1;AC$1)";"=WENNS(L3>AB$5;AA$5;L3>AB$4;AA$4;L3>AB$3;AA$3;L3>AB$2;AA$2;L3>AB$1;AA$1)";"="".bz""&TEXT(E3;""0"") & "" { fill:#"" &TEXT(O3;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q3;"""")";;;;;;;3;10;e54514
104;23;89,1576538085937;19.04.20 19:00;104;24;93,0340728759766;03.05.20 17:00;;;=F4-B4;=G4-C4;;;"=WENNS(P4=AA$5;AC$5;P4=AA$4;AC$4;P4=AA$3;AC$3;P4 = AA$2;AC$2;P4=AA$1;AC$1)";"=WENNS(L4>AB$5;AA$5;L4>AB$4;AA$4;L4>AB$3;AA$3;L4>AB$2;AA$2;L4>AB$1;AA$1)";"="".bz""&TEXT(E4;""0"") & "" { fill:#"" &TEXT(O4;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q4;"""")";;;;;;;4;25;b80062
105;9;52,7364349365234;19.04.20 19:00;105;9;52,7364349365234;03.05.20 17:00;;;=F5-B5;=G5-C5;;;"=WENNS(P5=AA$5;AC$5;P5=AA$4;AC$4;P5=AA$3;AC$3;P5 = AA$2;AC$2;P5=AA$1;AC$1)";"=WENNS(L5>AB$5;AA$5;L5>AB$4;AA$4;L5>AB$3;AA$3;L5>AB$2;AA$2;L5>AB$1;AA$1)";"="".bz""&TEXT(E5;""0"") & "" { fill:#"" &TEXT(O5;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q5;"""")";;;;;;;5;50;800080
106;40;100,187850952148;19.04.20 19:00;106;46;115,216026306152;03.05.20 17:00;;;=F6-B6;=G6-C6;;;"=WENNS(P6=AA$5;AC$5;P6=AA$4;AC$4;P6=AA$3;AC$3;P6 = AA$2;AC$2;P6=AA$1;AC$1)";"=WENNS(L6>AB$5;AA$5;L6>AB$4;AA$4;L6>AB$3;AA$3;L6>AB$2;AA$2;L6>AB$1;AA$1)";"="".bz""&TEXT(E6;""0"") & "" { fill:#"" &TEXT(O6;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q6;"""")";;;;;;;;;
107;52;87,3186492919922;19.04.20 19:00;107;56;94,0354614257813;03.05.20 17:00;;;=F7-B7;=G7-C7;;;"=WENNS(P7=AA$5;AC$5;P7=AA$4;AC$4;P7=AA$3;AC$3;P7 = AA$2;AC$2;P7=AA$1;AC$1)";"=WENNS(L7>AB$5;AA$5;L7>AB$4;AA$4;L7>AB$3;AA$3;L7>AB$2;AA$2;L7>AB$1;AA$1)";"="".bz""&TEXT(E7;""0"") & "" { fill:#"" &TEXT(O7;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q7;"""")";;;;;;;;;
108;24;63,9778213500977;19.04.20 19:00;108;23;61,3120803833008;03.05.20 17:00;;;=F8-B8;=G8-C8;;;"=WENNS(P8=AA$5;AC$5;P8=AA$4;AC$4;P8=AA$3;AC$3;P8 = AA$2;AC$2;P8=AA$1;AC$1)";"=WENNS(L8>AB$5;AA$5;L8>AB$4;AA$4;L8>AB$3;AA$3;L8>AB$2;AA$2;L8>AB$1;AA$1)";"="".bz""&TEXT(E8;""0"") & "" { fill:#"" &TEXT(O8;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q8;"""")";;;;;;;;;
109;115;212,663665771484;19.04.20 19:00;109;130;240,402389526367;03.05.20 17:00;;;=F9-B9;=G9-C9;;;"=WENNS(P9=AA$5;AC$5;P9=AA$4;AC$4;P9=AA$3;AC$3;P9 = AA$2;AC$2;P9=AA$1;AC$1)";"=WENNS(L9>AB$5;AA$5;L9>AB$4;AA$4;L9>AB$3;AA$3;L9>AB$2;AA$2;L9>AB$1;AA$1)";"="".bz""&TEXT(E9;""0"") & "" { fill:#"" &TEXT(O9;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q9;"""")";;;;;;;;;
201;85;84,3111801147461;19.04.20 19:00;201;89;88,2787628173828;03.05.20 17:00;;;=F10-B10;=G10-C10;;;"=WENNS(P10=AA$5;AC$5;P10=AA$4;AC$4;P10=AA$3;AC$3;P10 = AA$2;AC$2;P10=AA$1;AC$1)";"=WENNS(L10>AB$5;AA$5;L10>AB$4;AA$4;L10>AB$3;AA$3;L10>AB$2;AA$2;L10>AB$1;AA$1)";"="".bz""&TEXT(E10;""0"") & "" { fill:#"" &TEXT(O10;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q10;"""")";;;;;;;;;
202;20;32,1321258544922;19.04.20 19:00;202;21;33,7387351989746;03.05.20 17:00;;;=F11-B11;=G11-C11;;;"=WENNS(P11=AA$5;AC$5;P11=AA$4;AC$4;P11=AA$3;AC$3;P11 = AA$2;AC$2;P11=AA$1;AC$1)";"=WENNS(L11>AB$5;AA$5;L11>AB$4;AA$4;L11>AB$3;AA$3;L11>AB$2;AA$2;L11>AB$1;AA$1)";"="".bz""&TEXT(E11;""0"") & "" { fill:#"" &TEXT(O11;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q11;"""")";;;;;;;;;
