Zeitpunkt	Betroffene Ebene	GKZ	Bundesland	Bezirk	Gemeinde	Warnstufe	Farbe
2021-01-21 20:30:00	Staat	0	NULL	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	1	Burgenland	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	2	Kärnten	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	3	Niederösterreich	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	4	Oberösterreich	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	5	Salzburg	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	6	Steiermark	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	7	Tirol	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	8	Vorarlberg	NULL	NULL	4	rot
2021-01-21 20:30:00	Bundesland	9	Wien	NULL	NULL	4	rot
2021-01-21 20:30:00	Bezirk	101	Burgenland	Eisenstadt	NULL	4	rot
2021-01-21 20:30:00	Bezirk	102	Burgenland	Rust	NULL	4	rot
2021-01-21 20:30:00	Bezirk	103	Burgenland	Eisenstadt-Umgebung	NULL	4	rot
2021-01-21 20:30:00	Bezirk	104	Burgenland	Güssing	NULL	4	rot
2021-01-21 20:30:00	Bezirk	105	Burgenland	Jennersdorf	NULL	4	rot
2021-01-21 20:30:00	Bezirk	106	Burgenland	Mattersburg	NULL	4	rot
2021-01-21 20:30:00	Bezirk	107	Burgenland	Neusiedl am See	NULL	4	rot
2021-01-21 20:30:00	Bezirk	108	Burgenland	Oberpullendorf	NULL	4	rot
2021-01-21 20:30:00	Bezirk	109	Burgenland	Oberwart	NULL	4	rot
2021-01-21 20:30:00	Bezirk	201	Kärnten	Klagenfurt Stadt	NULL	4	rot
2021-01-21 20:30:00	Bezirk	202	Kärnten	Villach Stadt	NULL	4	rot
2021-01-21 20:30:00	Bezirk	203	Kärnten	Hermagor	NULL	4	rot
2021-01-21 20:30:00	Bezirk	204	Kärnten	Klagenfurt Land	NULL	4	rot
2021-01-21 20:30:00	Bezirk	205	Kärnten	Sankt Veit an der Glan	NULL	4	rot
2021-01-21 20:30:00	Bezirk	206	Kärnten	Spittal an der Drau	NULL	4	rot
2021-01-21 20:30:00	Bezirk	207	Kärnten	Villach Land	NULL	4	rot
2021-01-21 20:30:00	Bezirk	208	Kärnten	Völkermarkt	NULL	4	rot
2021-01-21 20:30:00	Bezirk	209	Kärnten	Wolfsberg	NULL	4	rot
