Zeitpunkt	Betroffene Ebene	GKZ	Bundesland	Bezirk	Gemeinde	Warnstufe	Farbe
2020-09-04 12:30:00	Staat	0	NULL	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	9	Wien	NULL	NULL	2	gelb
2020-09-04 12:30:00	Bundesland	1	Burgenland	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	2	Kärnten	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	3	Niederösterreich	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	4	Oberösterreich	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	5	Salzburg	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	6	Steiermark	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	7	Tirol	NULL	NULL	1	grün
2020-09-04 12:30:00	Bundesland	8	Vorarlberg	NULL	NULL	1	grün
2020-09-04 12:30:00	Bezirk	401	Oberösterreich	Linz	NULL	2	gelb
2020-09-04 12:30:00	Bezirk	601	Steiermark	Graz	NULL	2	gelb
2020-09-04 12:30:00	Bezirk	705	Tirol	Kufstein	NULL	2	gelb
2020-09-04 12:30:00	Bezirk	103	Burgenland	Eisenstadt-Umgebung	NULL	1	grün
2020-09-04 12:30:00	Bezirk	304	Niederösterreich	Wiener Neustadt	NULL	1	grün
2020-09-04 12:30:00	Bezirk	403	Oberösterreich	Wels	NULL	1	grün
2020-09-04 12:30:00	Bezirk	410	Oberösterreich	Linz-Land	NULL	1	grün
2020-09-04 12:30:00	Bezirk	701	Tirol	Innsbruck-Stadt	NULL	1	grün
2020-09-04 12:30:00	Gemeinde	40101	Oberösterreich	Linz	Linz	2	gelb
2020-09-04 12:30:00	Gemeinde	60101	Steiermark	Graz	Graz	2	gelb
2020-09-04 12:30:00	Gemeinde	70501	Tirol	Kufstein	Alpbach	2	gelb
2020-09-04 12:30:00	Gemeinde	70502	Tirol	Kufstein	Angath	2	gelb
2020-09-04 12:30:00	Gemeinde	70503	Tirol	Kufstein	Bad Häring	2	gelb
2020-09-04 12:30:00	Gemeinde	70504	Tirol	Kufstein	Brandenberg	2	gelb
2020-09-04 12:30:00	Gemeinde	70505	Tirol	Kufstein	Breitenbach am Inn	2	gelb
2020-09-04 12:30:00	Gemeinde	70506	Tirol	Kufstein	Brixlegg	2	gelb
2020-09-04 12:30:00	Gemeinde	70508	Tirol	Kufstein	Ebbs	2	gelb
2020-09-04 12:30:00	Gemeinde	70509	Tirol	Kufstein	Ellmau	2	gelb
2020-09-04 12:30:00	Gemeinde	70510	Tirol	Kufstein	Erl	2	gelb
2020-09-04 12:30:00	Gemeinde	70511	Tirol	Kufstein	Kirchbichl	2	gelb
2020-09-04 12:30:00	Gemeinde	70512	Tirol	Kufstein	Kramsach	2	gelb
2020-09-04 12:30:00	Gemeinde	70513	Tirol	Kufstein	Kufstein	2	gelb
2020-09-04 12:30:00	Gemeinde	70514	Tirol	Kufstein	Kundl	2	gelb
2020-09-04 12:30:00	Gemeinde	70515	Tirol	Kufstein	Langkampfen	2	gelb
2020-09-04 12:30:00	Gemeinde	70516	Tirol	Kufstein	Mariastein	2	gelb
2020-09-04 12:30:00	Gemeinde	70517	Tirol	Kufstein	Münster	2	gelb
2020-09-04 12:30:00	Gemeinde	70518	Tirol	Kufstein	Niederndorf	2	gelb
2020-09-04 12:30:00	Gemeinde	70519	Tirol	Kufstein	Niederndorferberg	2	gelb
2020-09-04 12:30:00	Gemeinde	70520	Tirol	Kufstein	Radfeld	2	gelb
2020-09-04 12:30:00	Gemeinde	70521	Tirol	Kufstein	Rattenberg	2	gelb
2020-09-04 12:30:00	Gemeinde	70522	Tirol	Kufstein	Reith im Alpbachtal	2	gelb
2020-09-04 12:30:00	Gemeinde	70523	Tirol	Kufstein	Rettenschöss	2	gelb
2020-09-04 12:30:00	Gemeinde	70524	Tirol	Kufstein	Scheffau am Wilden Kaiser	2	gelb
2020-09-04 12:30:00	Gemeinde	70525	Tirol	Kufstein	Schwoich	2	gelb
2020-09-04 12:30:00	Gemeinde	70526	Tirol	Kufstein	Söll	2	gelb
2020-09-04 12:30:00	Gemeinde	70527	Tirol	Kufstein	Thiersee	2	gelb
2020-09-04 12:30:00	Gemeinde	70528	Tirol	Kufstein	Angerberg	2	gelb
2020-09-04 12:30:00	Gemeinde	70529	Tirol	Kufstein	Walchsee	2	gelb
2020-09-04 12:30:00	Gemeinde	70530	Tirol	Kufstein	Wildschönau	2	gelb
2020-09-04 12:30:00	Gemeinde	70531	Tirol	Kufstein	Wörgl	2	gelb
2020-09-04 12:30:00	Gemeinde	90001	Wien	Wien	Wien	2	gelb
2020-09-04 12:30:00	Gemeinde	10101	Burgenland	Eisenstadt	Eisenstadt	1	grün
2020-09-04 12:30:00	Gemeinde	10201	Burgenland	Rust	Rust	1	grün
2020-09-04 12:30:00	Gemeinde	10301	Burgenland	Eisenstadt-Umgebung	Breitenbrunn am Neusiedler See	1	grün
2020-09-04 12:30:00	Gemeinde	10302	Burgenland	Eisenstadt-Umgebung	Donnerskirchen	1	grün
2020-09-04 12:30:00	Gemeinde	10303	Burgenland	Eisenstadt-Umgebung	Großhöflein	1	grün
2020-09-04 12:30:00	Gemeinde	10304	Burgenland	Eisenstadt-Umgebung	Hornstein	1	grün
2020-09-04 12:30:00	Gemeinde	10305	Burgenland	Eisenstadt-Umgebung	Klingenbach	1	grün
2020-09-04 12:30:00	Gemeinde	10306	Burgenland	Eisenstadt-Umgebung	Leithaprodersdorf	1	grün
2020-09-04 12:30:00	Gemeinde	10307	Burgenland	Eisenstadt-Umgebung	Mörbisch am See	1	grün
2020-09-04 12:30:00	Gemeinde	10308	Burgenland	Eisenstadt-Umgebung	Müllendorf	1	grün
2020-09-04 12:30:00	Gemeinde	10309	Burgenland	Eisenstadt-Umgebung	Neufeld an der Leitha	1	grün
2020-09-04 12:30:00	Gemeinde	10310	Burgenland	Eisenstadt-Umgebung	Oggau am Neusiedler See	1	grün
2020-09-04 12:30:00	Gemeinde	10311	Burgenland	Eisenstadt-Umgebung	Oslip	1	grün
2020-09-04 12:30:00	Gemeinde	10312	Burgenland	Eisenstadt-Umgebung	Purbach am Neusiedler See	1	grün
2020-09-04 12:30:00	Gemeinde	10313	Burgenland	Eisenstadt-Umgebung	Sankt Margarethen im Burgenland	1	grün
2020-09-04 12:30:00	Gemeinde	10314	Burgenland	Eisenstadt-Umgebung	Schützen am Gebirge	1	grün
2020-09-04 12:30:00	Gemeinde	10315	Burgenland	Eisenstadt-Umgebung	Siegendorf	1	grün
2020-09-04 12:30:00	Gemeinde	10316	Burgenland	Eisenstadt-Umgebung	Steinbrunn	1	grün
2020-09-04 12:30:00	Gemeinde	10317	Burgenland	Eisenstadt-Umgebung	Trausdorf an der Wulka	1	grün
2020-09-04 12:30:00	Gemeinde	10318	Burgenland	Eisenstadt-Umgebung	Wimpassing an der Leitha	1	grün
2020-09-04 12:30:00	Gemeinde	10319	Burgenland	Eisenstadt-Umgebung	Wulkaprodersdorf	1	grün
2020-09-04 12:30:00	Gemeinde	10320	Burgenland	Eisenstadt-Umgebung	Loretto	1	grün
2020-09-04 12:30:00	Gemeinde	10321	Burgenland	Eisenstadt-Umgebung	Stotzing	1	grün
2020-09-04 12:30:00	Gemeinde	10322	Burgenland	Eisenstadt-Umgebung	Zillingtal	1	grün
2020-09-04 12:30:00	Gemeinde	10323	Burgenland	Eisenstadt-Umgebung	Zagersdorf	1	grün
2020-09-04 12:30:00	Gemeinde	10401	Burgenland	Güssing	Bocksdorf	1	grün
2020-09-04 12:30:00	Gemeinde	10402	Burgenland	Güssing	Burgauberg-Neudauberg	1	grün
2020-09-04 12:30:00	Gemeinde	10403	Burgenland	Güssing	Eberau	1	grün
2020-09-04 12:30:00	Gemeinde	10404	Burgenland	Güssing	Gerersdorf-Sulz	1	grün
2020-09-04 12:30:00	Gemeinde	10405	Burgenland	Güssing	Güssing	1	grün
