GKZ	Bezirk	Bundesland	Artikel	Differenz_Anzahl	Differenz_Inzidenz	Timestamp_Alt	Timestamp_Neu	Intervall
203	Hermagor	Kärnten	Bezirk Hermagor	33	181.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
706	Landeck	Tirol	Bezirk Landeck	65	146.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
900	Wien	Wien	Wien	2315	122.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
502	Hallein	Salzburg	Bezirk Hallein	70	115.9	2020-09-27 11:00:00	2020-10-04 11:00:00	7
309	Gmünd	Niederösterreich	Bezirk Gmünd	40	108.8	2020-09-27 11:00:00	2020-10-04 11:00:00	7
301	Krems an der Donau	Niederösterreich	Krems an der Donau	27	108.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
701	Innsbruck-Stadt	Tirol	Innsbruck	141	106.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
412	Ried im Innkreis	Oberösterreich	Bezirk Ried im Innkreis	65	106.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
302	St. Pölten	Niederösterreich	St. Pölten	57	103.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
804	Feldkirch	Vorarlberg	Bezirk Feldkirch	103	96.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
307	Bruck an der Leitha	Niederösterreich	Bezirk Bruck an der Leitha	86	84.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
401	Linz	Oberösterreich	Linz	168	81.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
104	Güssing	Burgenland	Bezirk Güssing	21	81.4	2020-09-27 11:00:00	2020-10-04 11:00:00	7
107	Neusiedl am See	Burgenland	Bezirk Neusiedl am See	42	70.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
703	Innsbruck-Land	Tirol	Bezirk Innsbruck-Land	123	68.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
322	Waidhofen an der Thaya	Niederösterreich	Bezirk Waidhofen an der Thaya	17	65.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
316	Mistelbach	Niederösterreich	Bezirk Mistelbach	49	64.9	2020-09-27 11:00:00	2020-10-04 11:00:00	7
208	Völkermarkt	Kärnten	Bezirk Völkermarkt	27	64.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
403	Wels	Oberösterreich	Wels (Stadt)	38	61.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
317	Mödling	Niederösterreich	Bezirk Mödling	73	61.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
417	Vöcklabruck	Oberösterreich	Bezirk Vöcklabruck	83	60.9	2020-09-27 11:00:00	2020-10-04 11:00:00	7
315	Melk	Niederösterreich	Bezirk Melk	47	60.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
