Zeitpunkt vor 7 Tagen	Aktueller Zeitpunkt	Altersgruppe	Neuinfektionen	Inzidenz	Intervall
2020-12-10 14:02:00	2020-12-17 14:02:00	<5	123	28.2217	7
2020-12-10 14:02:00	2020-12-17 14:02:00	5–14	1006	118.7406	7
2020-12-10 14:02:00	2020-12-17 14:02:00	15–24	2247	235.1341	7
2020-12-10 14:02:00	2020-12-17 14:02:00	25–34	2851	235.8089	7
2020-12-10 14:02:00	2020-12-17 14:02:00	35–44	2747	233.8380	7
2020-12-10 14:02:00	2020-12-17 14:02:00	45–54	3285	246.2783	7
2020-12-10 14:02:00	2020-12-17 14:02:00	55–64	2762	220.7622	7
2020-12-10 14:02:00	2020-12-17 14:02:00	65–74	1535	182.2965	7
2020-12-10 14:02:00	2020-12-17 14:02:00	75–84	1419	226.9430	7
2020-12-10 14:02:00	2020-12-17 14:02:00	>84	1175	519.1649	7
