Datum	Uhrzeit	<5	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	>85
2020-04-16	17:00:00	73	321	1349	1995	2021	3035	2440	1286	1197	736
2020-04-16	18:00:00	73	321	1350	1996	2023	3037	2440	1286	1200	736
2020-04-16	19:00:00	73	321	1350	1997	2024	3037	2441	1287	1205	739
2020-04-16	20:00:00	73	321	1350	1997	2024	3036	2441	1287	1205	739
2020-04-16	21:00:00	73	321	1351	1997	2025	3036	2441	1287	1205	739
2020-04-16	22:00:00	73	321	1351	1997	2025	3036	2441	1287	1205	740
2020-04-16	23:00:00	73	321	1351	1997	2025	3036	2441	1287	1205	740
2020-04-17	00:00:00	73	321	1351	1997	2025	3036	2441	1287	1205	740
2020-04-17	01:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	02:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	03:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	04:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	05:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	06:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	07:00:00	73	321	1351	1997	2024	3037	2440	1288	1205	740
2020-04-17	08:00:00	74	322	1352	1997	2024	3038	2442	1289	1205	741
2020-04-17	09:00:00	74	322	1355	2000	2026	3040	2443	1292	1205	742
2020-04-17	10:00:00	74	321	1355	2000	2027	3042	2445	1292	1206	746
2020-04-17	11:00:00	74	321	1355	2000	2027	3044	2445	1292	1206	746
2020-04-17	12:00:00	74	321	1357	2002	2027	3047	2449	1294	1208	748
2020-04-17	13:00:00	74	322	1357	2002	2027	3047	2449	1294	1208	750
2020-04-17	14:00:00	74	322	1359	2003	2028	3049	2450	1295	1208	752
2020-04-17	15:00:00	74	322	1359	2005	2030	3053	2450	1297	1211	752
2020-04-17	16:00:00	74	322	1360	2005	2032	3053	2450	1297	1211	758
2020-04-17	17:00:00	74	322	1360	2006	2032	3055	2451	1299	1211	758
2020-04-17	18:00:00	74	322	1361	2006	2032	3055	2451	1300	1211	758
2020-04-17	19:00:00	74	322	1361	2007	2035	3057	2451	1301	1212	759
2020-04-17	20:00:00	74	322	1363	2008	2036	3059	2452	1301	1212	759
2020-04-17	21:00:00	74	322	1363	2008	2036	3059	2452	1301	1212	759
2020-04-17	22:00:00	76	322	1364	2009	2037	3060	2454	1301	1212	760
2020-04-17	23:00:00	76	322	1364	2009	2037	3060	2454	1301	1212	760
2020-04-18	00:00:00	76	322	1364	2009	2037	3060	2454	1301	1212	760
2020-04-18	01:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	02:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	03:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	03:59:59	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	05:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	06:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	07:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	08:00:00	76	322	1363	2010	2037	3059	2455	1301	1211	761
2020-04-18	09:00:00	76	322	1363	2011	2038	3061	2455	1301	1211	765
2020-04-18	10:00:00	76	322	1363	2011	2039	3061	2457	1302	1212	765
2020-04-18	11:00:00	77	322	1363	2013	2040	3063	2461	1303	1212	765
2020-04-18	12:00:00	77	322	1363	2013	2041	3063	2463	1304	1212	765
2020-04-18	13:00:00	77	322	1364	2014	2041	3064	2463	1304	1214	766
2020-04-18	14:00:00	77	322	1364	2014	2041	3064	2463	1305	1214	768
2020-04-18	15:00:00	77	323	1364	2014	2041	3065	2464	1305	1215	769
2020-04-18	16:00:00	77	323	1365	2015	2042	3068	2466	1305	1216	771
2020-04-18	17:00:00	77	323	1365	2015	2042	3070	2466	1305	1218	772
2020-04-18	18:00:00	77	323	1366	2016	2043	3071	2466	1305	1218	772
2020-04-18	19:00:00	77	323	1366	2016	2043	3074	2466	1305	1218	773
2020-04-18	20:00:00	77	323	1366	2016	2043	3074	2466	1305	1218	773
2020-04-18	21:00:00	77	323	1366	2017	2043	3074	2466	1305	1218	773
2020-04-18	22:00:00	77	323	1366	2017	2043	3074	2466	1305	1218	773
2020-04-18	23:00:00	77	323	1366	2017	2043	3074	2466	1305	1218	773
2020-04-19	00:00:00	77	323	1366	2017	2043	3074	2466	1305	1218	773
2020-04-19	01:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	02:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	03:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	04:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	05:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	06:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	07:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	08:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	773
2020-04-19	09:00:00	77	323	1365	2018	2041	3076	2466	1305	1218	772
2020-04-19	10:00:00	77	323	1365	2020	2044	3076	2467	1308	1218	772
2020-04-19	11:00:00	77	323	1365	2020	2044	3076	2468	1308	1219	775
2020-04-19	12:00:00	77	323	1365	2021	2044	3077	2469	1309	1219	777
2020-04-19	13:00:00	77	323	1365	2021	2044	3078	2469	1309	1221	777
2020-04-19	14:00:00	77	323	1365	2021	2045	3079	2470	1310	1221	778
2020-04-19	15:00:00	77	323	1365	2022	2046	3082	2471	1310	1222	778
2020-04-19	16:00:00	77	323	1365	2022	2046	3082	2471	1310	1222	778
2020-04-19	17:00:00	77	323	1365	2022	2046	3082	2472	1310	1223	779
2020-04-19	18:00:00	77	323	1365	2022	2047	3082	2472	1310	1223	779
2020-04-19	19:00:00	77	323	1365	2022	2047	3083	2472	1311	1224	779
2020-04-19	20:00:00	77	323	1365	2022	2047	3083	2472	1311	1224	779
2020-04-19	21:00:00	77	323	1365	2022	2047	3083	2472	1311	1224	779
2020-04-19	22:00:00	77	324	1365	2022	2048	3084	2472	1313	1224	779
2020-04-19	23:00:00	77	324	1365	2022	2049	3084	2473	1313	1224	779
2020-04-20	00:00:00	77	324	1365	2022	2049	3084	2473	1313	1224	779
2020-04-20	01:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	02:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	03:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	04:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	05:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	06:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	07:00:00	77	324	1364	2021	2051	3083	2474	1312	1225	779
2020-04-20	08:00:00	77	324	1365	2021	2052	3084	2474	1312	1225	779
2020-04-20	09:00:00	77	324	1366	2022	2053	3086	2475	1312	1225	779
2020-04-20	10:00:00	77	324	1368	2024	2053	3088	2475	1313	1225	780
2020-04-20	11:00:00	77	324	1370	2024	2054	3088	2475	1313	1226	780
2020-04-20	12:00:00	77	324	1370	2024	2055	3089	2476	1313	1230	780
2020-04-20	13:00:00	77	325	1370	2026	2056	3092	2476	1313	1230	780
2020-04-20	14:00:00	77	326	1369	2027	2056	3092	2477	1312	1230	780
2020-04-20	15:00:00	77	326	1369	2028	2056	3094	2480	1314	1230	781
2020-04-20	16:00:00	77	326	1369	2029	2057	3094	2482	1314	1231	782
2020-04-20	17:00:00	77	326	1369	2028	2057	3095	2483	1314	1231	782
2020-04-20	18:00:00	77	326	1369	2029	2057	3095	2483	1315	1231	782
2020-04-20	19:00:00	77	326	1369	2030	2057	3095	2483	1316	1231	782
2020-04-20	20:00:00	77	326	1369	2031	2059	3095	2484	1317	1231	786
2020-04-20	21:00:00	77	326	1369	2031	2060	3095	2484	1317	1231	786
2020-04-20	22:00:00	77	326	1369	2031	2060	3096	2484	1317	1231	786
2020-04-20	23:00:00	77	326	1370	2031	2060	3096	2485	1317	1232	786
2020-04-21	00:00:00	77	326	1370	2031	2060	3096	2485	1317	1232	786
2020-04-21	01:00:00	77	326	1369	2031	2059	3096	2487	1319	1232	786
2020-04-21	02:00:00	77	326	1369	2031	2059	3096	2487	1319	1232	786
2020-04-21	03:00:00	77	326	1369	2031	2059	3096	2487	1319	1233	786
2020-04-21	04:00:00	77	326	1369	2031	2059	3096	2487	1319	1233	786
2020-04-21	05:00:00	77	326	1369	2031	2059	3096	2487	1319	1233	786
2020-04-21	06:00:00	77	326	1369	2031	2059	3096	2487	1319	1233	786
2020-04-21	07:00:00	77	326	1369	2031	2059	3096	2487	1319	1233	786
2020-04-21	08:00:00	77	326	1371	2032	2059	3097	2487	1319	1233	789
2020-04-21	09:00:00	77	326	1371	2033	2059	3097	2486	1320	1233	789
2020-04-21	10:00:00	77	326	1371	2034	2059	3097	2487	1321	1233	790
2020-04-21	11:00:00	77	326	1371	2035	2059	3099	2487	1321	1233	790
2020-04-21	12:00:00	77	327	1372	2035	2059	3099	2487	1321	1235	791
2020-04-21	13:00:00	77	327	1373	2035	2060	3100	2487	1322	1234	791
2020-04-21	15:00:00	77	327	1373	2036	2060	3100	2490	1322	1234	791
2020-04-21	16:00:00	77	328	1373	2036	2060	3100	2490	1322	1234	792
2020-04-21	17:00:00	77	328	1374	2037	2062	3101	2492	1322	1235	793
2020-04-21	18:00:00	77	328	1374	2038	2062	3101	2493	1323	1239	793
2020-04-21	19:00:00	77	328	1374	2038	2062	3101	2494	1324	1240	793
2020-04-21	20:00:00	77	328	1374	2038	2062	3101	2494	1324	1240	793
2020-04-21	21:00:00	77	328	1374	2038	2062	3101	2494	1324	1240	794
2020-04-21	22:00:00	77	328	1374	2038	2063	3101	2494	1324	1240	794
2020-04-22	00:00:00	77	328	1374	2038	2063	3101	2494	1324	1240	794
2020-04-22	01:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	02:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	03:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	04:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	05:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	06:00:00	77	327	1375	2037	2064	3101	2494	1324	1240	794
2020-04-22	07:00:00	77	327	1376	2038	2064	3103	2496	1324	1240	794
2020-04-22	07:59:59	77	327	1376	2038	2064	3103	2497	1324	1240	794
2020-04-22	09:00:00	77	328	1378	2043	2065	3106	2503	1324	1242	795
2020-04-22	10:00:00	77	328	1379	2044	2066	3106	2503	1324	1242	796
2020-04-22	11:00:00	77	328	1379	2044	2067	3106	2503	1324	1243	796
2020-04-22	12:00:00	77	328	1379	2044	2069	3106	2503	1324	1244	796
2020-04-22	13:00:00	77	328	1380	2045	2071	3109	2504	1324	1244	796
2020-04-22	14:00:00	78	328	1381	2045	2072	3110	2505	1324	1245	796
2020-04-22	15:00:00	78	328	1381	2048	2072	3109	2506	1325	1245	797
2020-04-22	16:00:00	78	328	1383	2056	2074	3109	2506	1325	1245	797
2020-04-22	17:00:00	78	328	1383	2056	2074	3110	2506	1325	1245	798
2020-04-22	18:00:00	78	328	1383	2056	2075	3111	2506	1326	1245	797
2020-04-22	19:00:00	78	329	1383	2059	2075	3113	2508	1326	1248	797
2020-04-22	20:00:00	78	329	1383	2059	2076	3113	2508	1326	1248	797
2020-04-22	21:00:00	78	329	1383	2059	2076	3113	2508	1326	1248	797
2020-04-22	22:00:00	78	329	1383	2059	2076	3113	2508	1326	1248	797
2020-04-22	23:00:00	78	329	1383	2059	2076	3113	2509	1326	1249	797
2020-04-23	00:00:00	78	329	1383	2059	2076	3113	2509	1326	1249	797
2020-04-23	01:00:00	78	329	1383	2058	2075	3115	2509	1325	1250	797
2020-04-23	02:00:00	78	329	1383	2058	2075	3115	2509	1325	1250	797
2020-04-23	03:00:00	78	329	1383	2058	2075	3115	2509	1325	1250	797
