Zeitpunkt	GKZ	Betroffene Ebene	Warnstufe	Bundesland	Bezirk
2020-09-14 22:00:00	0	Staat	1	NULL	NULL
2020-09-14 22:00:00	9	Bundesland	3	Wien	NULL
2020-09-14 22:00:00	8	Bundesland	2	Vorarlberg	NULL
2020-09-14 22:00:00	6	Bundesland	1	Steiermark	NULL
2020-09-14 22:00:00	5	Bundesland	1	Salzburg	NULL
2020-09-14 22:00:00	4	Bundesland	1	Oberösterreich	NULL
2020-09-14 22:00:00	3	Bundesland	1	Niederösterreich	NULL
2020-09-14 22:00:00	2	Bundesland	1	Kärnten	NULL
2020-09-14 22:00:00	1	Bundesland	1	Burgenland	NULL
2020-09-14 22:00:00	318	Bezirk	3	Niederösterreich	Neunkirchen
2020-09-14 22:00:00	705	Bezirk	3	Tirol	Kufstein
2020-09-14 22:00:00	701	Bezirk	3	Tirol	Innsbruck-Stadt
2020-09-14 22:00:00	801	Bezirk	3	Vorarlberg	Bludenz
2020-09-14 22:00:00	317	Bezirk	3	Niederösterreich	Mödling
2020-09-14 22:00:00	803	Bezirk	3	Vorarlberg	Dornbirn
2020-09-14 22:00:00	413	Bezirk	2	Oberösterreich	Rohrbach
2020-09-14 22:00:00	415	Bezirk	2	Oberösterreich	Steyr-Land
2020-09-14 22:00:00	416	Bezirk	2	Oberösterreich	Urfahr-Umgebung
2020-09-14 22:00:00	417	Bezirk	2	Oberösterreich	Vöcklabruck
2020-09-14 22:00:00	418	Bezirk	2	Oberösterreich	Wels-Land
2020-09-14 22:00:00	410	Bezirk	2	Oberösterreich	Linz-Land
2020-09-14 22:00:00	411	Bezirk	2	Oberösterreich	Perg
2020-09-14 22:00:00	601	Bezirk	2	Steiermark	Graz
2020-09-14 22:00:00	606	Bezirk	2	Steiermark	Graz-Umgebung
2020-09-14 22:00:00	703	Bezirk	2	Tirol	Innsbruck-Land
2020-09-14 22:00:00	603	Bezirk	2	Steiermark	Deutschlandsberg
2020-09-14 22:00:00	706	Bezirk	2	Tirol	Landeck
2020-09-14 22:00:00	709	Bezirk	2	Tirol	Schwaz
2020-09-14 22:00:00	802	Bezirk	2	Vorarlberg	Bregenz
2020-09-14 22:00:00	804	Bezirk	2	Vorarlberg	Feldkirch
2020-09-14 22:00:00	409	Bezirk	2	Oberösterreich	Kirchdorf an der Krems
2020-09-14 22:00:00	408	Bezirk	2	Oberösterreich	Grieskirchen
2020-09-14 22:00:00	407	Bezirk	2	Oberösterreich	Gmunden
2020-09-14 22:00:00	308	Bezirk	2	Niederösterreich	Gänserndorf
2020-09-14 22:00:00	306	Bezirk	2	Niederösterreich	Baden
2020-09-14 22:00:00	304	Bezirk	2	Niederösterreich	Wiener Neustadt
2020-09-14 22:00:00	312	Bezirk	2	Niederösterreich	Korneuburg
2020-09-14 22:00:00	302	Bezirk	2	Niederösterreich	St. Pölten
2020-09-14 22:00:00	313	Bezirk	2	Niederösterreich	Krems(Land)
2020-09-14 22:00:00	314	Bezirk	2	Niederösterreich	Lilienfeld
2020-09-14 22:00:00	316	Bezirk	2	Niederösterreich	Mistelbach
2020-09-14 22:00:00	301	Bezirk	2	Niederösterreich	Krems an der Donau
2020-09-14 22:00:00	406	Bezirk	2	Oberösterreich	Freistadt
2020-09-14 22:00:00	405	Bezirk	2	Oberösterreich	Eferding
2020-09-14 22:00:00	403	Bezirk	2	Oberösterreich	Wels
2020-09-14 22:00:00	402	Bezirk	2	Oberösterreich	Steyr
2020-09-14 22:00:00	401	Bezirk	2	Oberösterreich	Linz
2020-09-14 22:00:00	325	Bezirk	2	Niederösterreich	Zwettl
2020-09-14 22:00:00	323	Bezirk	2	Niederösterreich	Wiener Neustadt (Land)
2020-09-14 22:00:00	307	Bezirk	2	Niederösterreich	Bruck an der Leitha
2020-09-14 22:00:00	708	Bezirk	1	Tirol	Reutte
2020-09-14 22:00:00	704	Bezirk	1	Tirol	Kitzbühel
2020-09-14 22:00:00	310	Bezirk	1	Niederösterreich	Hollabrunn
2020-09-14 22:00:00	702	Bezirk	1	Tirol	Imst
2020-09-14 22:00:00	611	Bezirk	1	Steiermark	Leoben
2020-09-14 22:00:00	501	Bezirk	1	Salzburg	Salzburg (Stadt)
2020-09-14 22:00:00	202	Bezirk	1	Kärnten	Villach Stadt
