Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Summe	Timestamp
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	321	2020-02-26 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	447	2020-02-27 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	763	2020-02-28 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1649	2020-02-29 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1826	2020-03-01 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2120	2020-03-02 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2683	2020-03-03 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3138	2020-03-04 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3711	2020-03-05 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4000	2020-03-06 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4308	2020-03-07 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4509	2020-03-08 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4734	2020-03-09 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5026	2020-03-10 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5362	2020-03-11 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5869	2020-03-12 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6582	2020-03-13 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7467	2020-03-14 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8167	2020-03-15 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8490	2020-03-16 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10278	2020-03-17 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11977	2020-03-18 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13724	2020-03-19 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	15613	2020-03-20 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	18545	2020-03-21 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	21368	2020-03-22 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23429	2020-03-23 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	28391	2020-03-24 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32407	2020-03-25 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	35995	2020-03-26 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39552	2020-03-27 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42750	2020-03-28 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	46441	2020-03-29 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	49455	2020-03-30 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52344	2020-03-31 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	55863	2020-04-01 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	92190	2020-04-02 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	98343	2020-04-03 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	104134	2020-04-04 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	108416	2020-04-05 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	111296	2020-04-06 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	115235	2020-04-07 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	120755	2020-04-08 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	126287	2020-04-09 10:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	134743	2020-04-10 10:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	140975	2020-04-11 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	144877	2020-04-12 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	148412	2020-04-13 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	151796	2020-04-14 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	156801	2020-04-15 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	162816	2020-04-16 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	169272	2020-04-17 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	175932	2020-04-18 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	179243	2020-04-19 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	182949	2020-04-20 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	189018	2020-04-21 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	201794	2020-04-22 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	205835	2020-04-23 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	212686	2020-04-24 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	221089	2020-04-25 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	227631	2020-04-26 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	232537	2020-04-27 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	239578	2020-04-28 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	247754	2020-04-29 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	256399	2020-04-30 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	264079	2020-05-01 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	269619	2020-05-02 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	274355	2020-05-03 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	279071	2020-05-04 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	285883	2020-05-05 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	292254	2020-05-06 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	297894	2020-05-07 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	304069	2020-05-08 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	311690	2020-05-09 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	316508	2020-05-10 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	319484	2020-05-11 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	329314	2020-05-12 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	336252	2020-05-13 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	344606	2020-05-14 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	351351	2020-05-15 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	357393	2020-05-16 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	362509	2020-05-17 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	365873	2020-05-18 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	372435	2020-05-19 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	379592	2020-05-20 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	385607	2020-05-21 09:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	390488	2020-05-22 09:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	396363	2020-05-23 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	401857	2020-05-24 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	405341	2020-05-25 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	411185	2020-05-26 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	418706	2020-05-27 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	427372	2020-05-28 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	434302	2020-05-29 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	442143	2020-05-30 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	448534	2020-05-31 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	451820	2020-06-01 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	456378	2020-06-02 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	462958	2020-06-03 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	471466	2020-06-04 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	479449	2020-06-05 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	485912	2020-06-06 09:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	489597	2020-06-07 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	494761	2020-06-08 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	500921	2020-06-09 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	506344	2020-06-10 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	512501	2020-06-11 09:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	516581	2020-06-12 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	520976	2020-06-13 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	524840	2020-06-14 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	527670	2020-06-15 09:30:00
