Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Summe	Timestamp
0	0	0	0	0	0	0	0	0	0	2020-03-08 11:45:00
0	0	0	0	0	0	0	0	0	0	2020-03-09 15:00:00
0	0	0	0	0	0	0	0	0	0	2020-03-10 15:00:00
0	0	0	0	0	0	0	0	0	0	2020-03-11 15:00:00
0	0	0	0	0	0	0	0	1	1	2020-03-12 15:00:00
0	0	0	0	0	0	0	0	1	1	2020-03-13 15:00:00
0	0	0	0	0	0	0	0	1	1	2020-03-14 15:00:00
0	0	0	0	0	0	0	0	1	1	2020-03-15 15:00:00
0	0	0	0	0	1	0	0	2	3	2020-03-16 15:00:00
0	0	0	0	0	1	0	0	2	3	2020-03-17 15:00:00
0	0	0	0	0	2	0	0	2	4	2020-03-18 15:00:00
0	0	0	1	0	3	0	0	2	6	2020-03-19 14:30:00
0	0	0	1	0	3	0	0	2	6	2020-03-20 15:00:00
0	0	1	1	0	3	0	0	3	8	2020-03-21 15:00:00
1	1	1	2	0	4	0	0	7	16	2020-03-22 15:00:00
1	1	1	2	0	4	1	0	11	21	2020-03-23 15:00:00
2	1	3	2	0	5	4	0	11	28	2020-03-24 15:00:00
2	1	5	2	0	5	4	0	12	31	2020-03-25 15:00:00
2	2	12	3	1	11	4	0	14	49	2020-03-26 15:00:00
2	2	13	4	1	13	6	1	16	58	2020-03-27 15:00:00
2	2	13	4	4	17	9	1	16	68	2020-03-28 08:00:00
3	2	19	7	4	19	10	1	21	86	2020-03-29 09:30:00
3	2	28	7	7	24	13	1	23	108	2020-03-30 09:30:00
3	2	28	10	9	30	19	2	25	128	2020-03-31 09:30:00
3	2	28	12	11	34	24	3	29	146	2020-04-01 10:00:00
3	2	28	14	12	35	28	5	31	158	2020-04-02 09:30:00
3	2	28	17	12	38	29	4	34	168	2020-04-03 09:30:00
3	3	31	18	12	47	31	4	37	186	2020-04-04 09:30:00
3	4	31	20	14	53	35	4	40	204	2020-04-05 09:30:00
3	4	36	22	15	56	35	5	44	220	2020-04-06 09:30:00
3	4	39	23	16	60	40	5	53	243	2020-04-07 09:30:00
3	5	42	28	20	66	46	5	58	273	2020-04-08 09:30:00
3	5	47	29	20	69	53	7	62	295	2020-04-09 09:30:00
4	5	54	29	23	71	59	7	67	319	2020-04-10 09:30:00
5	5	60	29	24	73	62	7	72	337	2020-04-11 09:30:00
6	5	62	30	24	76	66	7	74	350	2020-04-12 09:30:00
6	8	66	32	26	80	68	7	75	368	2020-04-13 09:30:00
6	9	67	32	26	87	72	7	78	384	2020-04-14 09:30:00
6	8	71	32	26	90	72	7	81	393	2020-04-15 09:30:00
6	8	73	34	27	93	80	7	82	410	2020-04-16 09:30:00
7	8	77	37	28	97	83	8	86	431	2020-04-17 09:30:00
7	9	80	37	29	99	85	9	88	443	2020-04-18 09:30:00
8	10	82	38	29	101	85	9	90	452	2020-04-19 09:30:00
8	10	83	41	30	106	86	10	96	470	2020-04-20 09:30:00
8	12	85	44	30	109	91	13	99	491	2020-04-21 09:30:00
9	12	87	47	33	110	95	13	104	510	2020-04-22 09:30:00
9	12	88	48	33	115	98	14	105	522	2020-04-23 09:30:00
8	12	89	48	33	119	101	14	106	530	2020-04-24 09:30:00
8	12	90	51	33	120	101	14	107	536	2020-04-25 09:30:00
9	12	90	52	33	121	101	14	110	542	2020-04-26 09:30:00
9	12	92	53	33	121	101	15	113	549	2020-04-27 09:30:00
10	12	92	53	34	123	103	15	127	569	2020-04-28 09:30:00
10	12	92	55	35	126	105	15	130	580	2020-04-29 09:30:00
10	12	92	55	35	129	105	16	130	584	2020-04-30 09:30:00
10	12	92	56	36	130	105	17	131	589	2020-05-01 09:30:00
10	12	92	56	36	133	105	17	135	596	2020-05-02 09:30:00
10	13	92	57	36	133	105	17	135	598	2020-05-03 09:30:00
11	13	93	56	36	133	105	17	136	600	2020-05-04 09:30:00
11	13	95	57	36	134	105	18	137	606	2020-05-05 09:30:00
11	13	95	57	36	134	106	19	137	608	2020-05-06 09:30:00
11	13	95	57	36	134	106	19	138	609	2020-05-07 09:30:00
11	13	95	57	36	135	107	19	141	614	2020-05-08 09:30:00
11	13	95	58	36	135	107	19	141	615	2020-05-09 09:30:00
11	13	95	58	36	136	107	19	143	618	2020-05-10 09:30:00
11	13	95	58	37	136	107	19	144	620	2020-05-11 09:30:00
11	13	95	58	37	139	107	19	144	623	2020-05-12 09:30:00
11	13	95	59	37	139	107	19	144	624	2020-05-13 09:30:00
11	13	97	59	37	139	107	19	144	626	2020-05-14 09:30:00
11	13	97	60	37	140	107	19	144	628	2020-05-15 09:30:00
11	13	98	60	37	140	107	19	144	629	2020-05-16 09:30:00
11	13	98	60	37	140	107	19	144	629	2020-05-17 09:30:00
